DATE,consumer_confidence_index,consumer_price_index,emratio,GDP,house_start,income,median_sales_price,mortgage_rate,population,target,unemployed_rate
2012-12-01,72.9,231.221,58.7,0.0,1952.0,14581.4,251700.0,3.345,315877.0,145.499,7.9
2012-12-31,0.0,0.0,0.0,16420.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,73.8,231.679,58.6,0.0,1776.0,13880.4,258400.0,3.414,316038.0,146.824,8.0
2013-01-31,0.0,0.0,0.0,16648.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,77.6,232.937,58.6,0.0,1924.0,13902.0,258400.0,3.5325,316191.0,147.781,7.7
2013-02-28,0.0,0.0,0.0,16648.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,78.6,232.282,58.5,0.0,2020.0,13932.2,258400.0,3.565,316357.0,149.961,7.5
2013-03-31,0.0,0.0,0.0,16648.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,76.4,231.797,58.6,0.0,1670.0,13974.9,268100.0,3.445,316535.0,151.518,7.6
2013-04-30,0.0,0.0,0.0,16728.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,84.5,231.893,58.6,0.0,1860.0,14052.5,268100.0,3.536,316729.0,152.85,7.5
2013-05-31,0.0,0.0,0.0,16728.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,84.1,232.445,58.6,0.0,1678.0,14083.9,268100.0,4.07,316934.0,154.202,7.5
2013-06-30,0.0,0.0,0.0,16728.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,85.1,232.9,58.7,0.0,1760.0,14072.0,264800.0,4.37,317156.0,155.607,7.3
2013-07-31,0.0,0.0,0.0,16953.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,82.1,233.456,58.7,0.0,1834.0,14117.3,264800.0,4.456,317397.0,156.963,7.2
2013-08-31,0.0,0.0,0.0,16953.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,77.5,233.544,58.7,0.0,1700.0,14181.7,264800.0,4.49,317635.0,158.225,7.2
2013-09-30,0.0,0.0,0.0,16953.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,73.2,233.669,58.3,0.0,1850.0,14152.3,273600.0,4.192,317864.0,159.24,7.2
2013-10-31,0.0,0.0,0.0,17192.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,75.1,234.1,58.6,0.0,2200.0,14209.6,273600.0,4.255,318076.0,160.073,6.9
2013-11-30,0.0,0.0,0.0,17192.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,82.5,234.719,58.7,0.0,2004.0,14266.5,273600.0,4.4575,318276.0,160.993,6.7
2013-12-31,0.0,0.0,0.0,17192.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,81.2,235.288,58.8,0.0,1776.0,14369.2,275200.0,4.432,318464.0,161.924,6.6
2014-01-31,0.0,0.0,0.0,17197.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,81.6,235.547,58.7,0.0,1888.0,14456.4,275200.0,4.3025,318642.0,162.523,6.7
2014-02-28,0.0,0.0,0.0,17197.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,80.0,236.028,58.9,0.0,1940.0,14555.0,275200.0,4.3425,318827.0,163.084,6.7
2014-03-31,0.0,0.0,0.0,17197.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,84.1,236.468,58.9,0.0,2086.0,14624.5,288000.0,4.3375,319020.0,163.39,6.2
2014-04-30,0.0,0.0,0.0,17518.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,81.9,236.918,58.9,0.0,2014.0,14689.5,288000.0,4.192,319225.0,163.656,6.3
2014-05-31,0.0,0.0,0.0,17518.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,82.5,237.231,59.0,0.0,1822.0,14760.1,288000.0,4.1625,319438.0,164.067,6.1
2014-06-30,0.0,0.0,0.0,17518.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,81.8,237.498,59.0,0.0,2170.0,14821.1,281000.0,4.13,319670.0,164.587,6.2
2014-07-31,0.0,0.0,0.0,17804.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,82.5,237.46,59.0,0.0,1968.0,14894.2,281000.0,4.115,319919.0,165.212,6.1
2014-08-31,0.0,0.0,0.0,17804.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
